id;node1id;node2id;length;distance;curveness;volume;avgCrossSection;minRadiusAvg;minRadiusStd;avgRadiusAvg;avgRadiusStd;maxRadiusAvg;maxRadiusStd;roundnessAvg;roundnessStd;node1_degree;node2_degree;num_voxels;hasNodeAtSampleBorder
0;1421;33;48.1319;47.0106;1.02385;1021;21.2126;2.09274;0.402758;2.68515;0.150153;3.19245;0.504107;0.680628;0.197893;1;3;46;0
1;44;1422;17.0483;16.7232;1.01944;158;9.26779;1.32051;0.362452;1.77821;0.26968;2.28217;0.466225;0.607562;0.211043;1;3;15;0
2;0;1424;9.23774;9.05539;1.02014;582;63.0024;4.07746;0.682233;4.81298;0.544665;5.62814;0.556452;0.719067;0.0637719;1;3;8;1
3;7;1425;9.46399;9.05539;1.04512;686;72.4853;4.32008;0.829018;5.1646;0.633468;5.94408;0.546353;0.720829;0.0971697;1;3;8;1
4;1423;1423;6.35576;0;0;52;8.18155;1.09461;0.279417;2.03454;0.24284;2.82215;0.453777;0.403748;0.151037;3;3;6;0
5;18;1426;9.70737;9.21954;1.05291;480;49.447;3.34547;0.958092;4.42396;0.784212;6.1842;1.28748;0.543227;0.139802;1;3;8;1
6;4;1430;10.992;10.7548;1.02206;1082;98.4348;5.78891;0.952996;6.3194;0.581703;6.79785;0.353993;0.847559;0.110701;1;4;9;1
7;31;1433;8.95356;8.85062;1.01163;100;11.1687;1.47174;0.0323149;2.08748;0.389663;2.81291;1.07039;0.575888;0.140469;1;3;5;0
8;19;1428;15.7127;15.6525;1.00385;153;9.73735;1.33911;0.205659;1.91068;0.232263;2.51645;0.525802;0.554406;0.140585;1;3;13;0
9;26;1428;6.8624;6.78233;1.01181;70;10.2005;1.28123;0.226703;1.91715;0.149225;2.45277;0.270905;0.521172;0.0675642;1;3;5;0
10;1430;1431;6.25415;6.13566;1.01931;221;35.3366;4.33967;2.04474;5.62833;0.935806;6.91786;0.121976;0.632722;0.30673;4;5;2;0
11;1431;1431;1.49617;0;0;32;21.3879;0.982802;0;2.97851;0;7.09146;0;0.138589;0;5;5;1;0
12;1426;1435;10.0072;8.30662;1.20473;169;16.8878;1.6428;0.571192;2.61894;0.820042;3.97001;1.30323;0.437516;0.118036;3;3;7;0
13;61;1429;8.6218;8.60233;1.00226;109;12.6424;1.52962;0.0209439;2.11693;0.615756;2.91462;1.45092;0.608709;0.173384;1;3;6;0
14;1430;1431;8.52715;6.13566;1.38977;294;34.4781;2.54502;1.85869;4.48574;1.11145;6.72526;0.243123;0.37177;0.259086;4;5;5;0
15;1425;1437;11.6966;10.4403;1.12033;294;25.1354;2.20685;1.13798;3.30799;1.19915;4.85511;1.51097;0.481273;0.205161;3;3;8;0
16;58;1432;7.6145;7.54983;1.00857;52;6.82907;1.05642;0.306669;1.69381;0.707508;2.4059;1.49316;0.514755;0.184612;1;3;6;0
17;1433;32;24.8157;23.9374;1.03669;250;10.0743;1.39839;0.147104;1.92173;0.275922;2.45388;0.621375;0.590049;0.105818;1;3;19;0
18;1423;1434;6.471;6.40312;1.0106;40;6.18142;0.767324;0.25799;1.86454;0.0708693;2.76375;0.115928;0.280879;0.103383;3;3;3;0
19;1431;1437;19.5637;18.6414;1.04947;162;8.28065;1.261;0.242403;1.89315;0.0653331;2.41984;0.227834;0.530333;0.132527;3;5;13;0
20;11;1439;13.2377;13.0384;1.01529;566;42.7565;3.0757;0.935339;3.88586;0.519604;4.62695;0.418711;0.651033;0.182491;1;3;12;1
21;28;1440;14.9114;14.1774;1.05177;73;4.8956;1.10393;0.249447;1.58418;0.20816;2.03456;0.533467;0.563468;0.160584;1;3;10;0
22;23;1441;16.4859;15.843;1.04058;162;9.8266;1.49195;0.100857;1.98898;0.256548;2.57407;0.616336;0.601884;0.102302;1;3;10;0
23;64;1436;10.8602;10.6145;1.02315;47;4.32772;0.785167;0.091438;1.43556;0.1227;1.91207;0.317701;0.422887;0.0915532;1;3;8;0
24;39;1438;12.9366;12.53;1.03245;73;5.64291;0.873088;0.263438;1.58772;0.270576;2.17055;0.479946;0.413945;0.124506;1;3;10;0
25;1427;1443;12.5707;11.7473;1.07009;106;8.4323;1.47523;0.0992846;1.79738;0.116195;2.22366;0.320026;0.678904;0.11354;3;3;10;0
26;1427;1440;19.1623;18.6279;1.02869;156;8.14097;1.23309;0.152891;1.79158;0.104998;2.21701;0.205822;0.561325;0.0947035;3;3;16;0
27;1422;1442;58.1642;54.1079;1.07497;1207;20.7516;2.11247;0.241769;2.74843;0.325331;3.45445;0.813997;0.630794;0.11682;3;3;51;0
28;37;1450;11.3736;11.2052;1.01503;63;5.53914;0.945827;0.247303;1.62032;0.237138;2.13786;0.505885;0.460963;0.152299;1;3;7;0
29;1435;1450;8.04971;7.6956;1.04602;69;8.57173;1.55232;0.187513;1.9788;0.0880211;2.47635;0.0568969;0.626145;0.0687524;3;3;5;0
30;38;1444;10.949;10.6771;1.02546;136;12.4213;1.46594;0.179723;2.09789;0.430348;2.76274;1.00079;0.576181;0.15307;1;3;8;0
31;1424;1445;18.5725;18.0555;1.02863;251;13.5146;1.37936;1.14742;2.35897;1.22934;3.27441;1.6946;0.44208;0.215458;3;3;12;0
32;59;1455;10.4176;10.3118;1.01026;50;4.79959;0.885906;0.22756;1.55687;0.179153;2.15795;0.392803;0.428431;0.137395;1;3;7;0
33;57;1455;12.4341;12.3423;1.00744;70;5.62967;1.03203;0.196361;1.65823;0.335447;2.24617;0.842613;0.492209;0.127804;1;3;8;0
34;25;1447;17.9922;17.72;1.01536;171;9.50411;1.42936;0.144561;1.95931;0.16294;2.52302;0.384437;0.576216;0.0896191;1;3;13;0
35;50;1447;9.27306;9.11043;1.01785;94;10.1369;1.42059;0.140333;1.98276;0.164685;2.61428;0.409705;0.555641;0.099673;1;3;6;0
36;49;1448;29.4479;29.0345;1.01424;444;15.0775;1.7489;0.10747;2.31462;0.15795;2.8564;0.342939;0.618854;0.0681371;1;3;24;0
37;1421;1448;22.8912;22.4944;1.01764;502;21.9299;2.23291;0.249235;2.87694;0.101104;3.47065;0.178963;0.646212;0.0870442;3;3;15;0
38;1457;63;11.4944;11.2101;1.02536;104;9.0479;1.29345;0.196735;1.85452;0.178118;2.3645;0.492774;0.578988;0.161554;1;3;9;0
